,ano,uf,genero,mes,numero
366,2015,Roraima,Masculino,Julho,0
367,2015,Roraima,Masculino,Agosto,0
368,2015,Roraima,Masculino,Setembro,0
369,2015,Roraima,Masculino,Outubro,1
370,2015,Roraima,Masculino,Novembro,0
371,2015,Roraima,Masculino,Dezembro,0
372,2015,Pará,Masculino,Janeiro,3
373,2015,Pará,Masculino,Fevereiro,1
374,2015,Pará,Masculino,Março,2
375,2015,Pará,Masculino,Abril,3
376,2015,Pará,Masculino,Maio,11
377,2015,Pará,Masculino,Junho,11
378,2015,Pará,Masculino,Julho,1
379,2015,Pará,Masculino,Agosto,3
380,2015,Pará,Masculino,Setembro,0
381,2015,Pará,Masculino,Outubro,2
382,2015,Pará,Masculino,Novembro,3
383,2015,Pará,Masculino,Dezembro,15
384,2015,Amapá,Masculino,Janeiro,0
385,2015,Amapá,Masculino,Fevereiro,1
386,2015,Amapá,Masculino,Março,1
387,2015,Amapá,Masculino,Abril,0
388,2015,Amapá,Masculino,Maio,0
389,2015,Amapá,Masculino,Junho,0
390,2015,Amapá,Masculino,Julho,1
391,2015,Amapá,Masculino,Agosto,0
392,2015,Amapá,Masculino,Setembro,0
393,2015,Amapá,Masculino,Outubro,0
394,2015,Amapá,Masculino,Novembro,0
395,2015,Amapá,Masculino,Dezembro,0
396,2015,Tocantins,Masculino,Janeiro,1
397,2015,Tocantins,Masculino,Fevereiro,1
398,2015,Tocantins,Masculino,Março,0
399,2015,Tocantins,Masculino,Abril,1
400,2015,Tocantins,Masculino,Maio,0
401,2015,Tocantins,Masculino,Junho,1
402,2015,Tocantins,Masculino,Julho,0
403,2015,Tocantins,Masculino,Agosto,1
404,2015,Tocantins,Masculino,Setembro,0
405,2015,Tocantins,Masculino,Outubro,0
406,2015,Tocantins,Masculino,Novembro,1
407,2015,Tocantins,Masculino,Dezembro,0
408,2015,Maranhão,Masculino,Janeiro,8
409,2015,Maranhão,Masculino,Fevereiro,4
410,2015,Maranhão,Masculino,Março,1
411,2015,Maranhão,Masculino,Abril,5
412,2015,Maranhão,Masculino,Maio,1
413,2015,Maranhão,Masculino,Junho,2
414,2015,Maranhão,Masculino,Julho,6
415,2015,Maranhão,Masculino,Agosto,1
416,2015,Maranhão,Masculino,Setembro,2
417,2015,Maranhão,Masculino,Outubro,6
418,2015,Maranhão,Masculino,Novembro,4
419,2015,Maranhão,Masculino,Dezembro,10
420,2015,Piauí,Masculino,Janeiro,0
421,2015,Piauí,Masculino,Fevereiro,0
422,2015,Piauí,Masculino,Março,0
423,2015,Piauí,Masculino,Abril,1
424,2015,Piauí,Masculino,Maio,2
425,2015,Piauí,Masculino,Junho,0
426,2015,Piauí,Masculino,Julho,2
427,2015,Piauí,Masculino,Agosto,1
428,2015,Piauí,Masculino,Setembro,1
429,2015,Piauí,Masculino,Outubro,0
430,2015,Piauí,Masculino,Novembro,0
431,2015,Piauí,Masculino,Dezembro,0
432,2015,Ceará,Masculino,Janeiro,17
433,2015,Ceará,Masculino,Fevereiro,25
434,2015,Ceará,Masculino,Março,11
435,2015,Ceará,Masculino,Abril,16
436,2015,Ceará,Masculino,Maio,18
437,2015,Ceará,Masculino,Junho,29
438,2015,Ceará,Masculino,Julho,26
439,2015,Ceará,Masculino,Agosto,17
440,2015,Ceará,Masculino,Setembro,25
441,2015,Ceará,Masculino,Outubro,16
442,2015,Ceará,Masculino,Novembro,21
443,2015,Ceará,Masculino,Dezembro,25
444,2015,Rio Grande do Norte,Masculino,Janeiro,0
445,2015,Rio Grande do Norte,Masculino,Fevereiro,1
446,2015,Rio Grande do Norte,Masculino,Março,3
447,2015,Rio Grande do Norte,Masculino,Abril,0
448,2015,Rio Grande do Norte,Masculino,Maio,0
449,2015,Rio Grande do Norte,Masculino,Junho,0
450,2015,Rio Grande do Norte,Masculino,Julho,1
451,2015,Rio Grande do Norte,Masculino,Agosto,1
452,2015,Rio Grande do Norte,Masculino,Setembro,3
453,2015,Rio Grande do Norte,Masculino,Outubro,2
454,2015,Rio Grande do Norte,Masculino,Novembro,2
455,2015,Rio Grande do Norte,Masculino,Dezembro,4
456,2015,Paraíba,Masculino,Janeiro,1
457,2015,Paraíba,Masculino,Fevereiro,0
458,2015,Paraíba,Masculino,Março,2
459,2015,Paraíba,Masculino,Abril,0
460,2015,Paraíba,Masculino,Maio,1
461,2015,Paraíba,Masculino,Junho,2
462,2015,Paraíba,Masculino,Julho,1
463,2015,Paraíba,Masculino,Agosto,0
464,2015,Paraíba,Masculino,Setembro,2
465,2015,Paraíba,Masculino,Outubro,2
466,2015,Paraíba,Masculino,Novembro,3
467,2015,Paraíba,Masculino,Dezembro,4
468,2015,Pernambuco,Masculino,Janeiro,8
469,2015,Pernambuco,Masculino,Fevereiro,6
470,2015,Pernambuco,Masculino,Março,4
471,2015,Pernambuco,Masculino,Abril,8
472,2015,Pernambuco,Masculino,Maio,10
473,2015,Pernambuco,Masculino,Junho,4
474,2015,Pernambuco,Masculino,Julho,3
475,2015,Pernambuco,Masculino,Agosto,3
476,2015,Pernambuco,Masculino,Setembro,5
477,2015,Pernambuco,Masculino,Outubro,5
478,2015,Pernambuco,Masculino,Novembro,7
479,2015,Pernambuco,Masculino,Dezembro,11
480,2015,Alagoas,Masculino,Janeiro,4
481,2015,Alagoas,Masculino,Fevereiro,0
482,2015,Alagoas,Masculino,Março,1
483,2015,Alagoas,Masculino,Abril,0
484,2015,Alagoas,Masculino,Maio,1
485,2015,Alagoas,Masculino,Junho,1
486,2015,Alagoas,Masculino,Julho,1
487,2015,Alagoas,Masculino,Agosto,0
488,2015,Alagoas,Masculino,Setembro,3
489,2015,Alagoas,Masculino,Outubro,1
490,2015,Alagoas,Masculino,Novembro,3
491,2015,Alagoas,Masculino,Dezembro,4
492,2015,Sergipe,Masculino,Janeiro,1
