,ano,uf,genero,mes,numero,numero_mes,data
154,2019,Pernambuco,Masculino,Novembro,5,11,2019-11-01
155,2019,Pernambuco,Masculino,Dezembro,13,12,2019-12-01
156,2019,Alagoas,Masculino,Janeiro,0,01,2019-01-01
157,2019,Alagoas,Masculino,Fevereiro,4,02,2019-02-01
158,2019,Alagoas,Masculino,Março,1,03,2019-03-01
159,2019,Alagoas,Masculino,Abril,2,04,2019-04-01
160,2019,Alagoas,Masculino,Maio,3,05,2019-05-01
161,2019,Alagoas,Masculino,Junho,0,06,2019-06-01
162,2019,Alagoas,Masculino,Julho,0,07,2019-07-01
163,2019,Alagoas,Masculino,Agosto,1,08,2019-08-01
164,2019,Alagoas,Masculino,Setembro,4,09,2019-09-01
165,2019,Alagoas,Masculino,Outubro,5,10,2019-10-01
166,2019,Alagoas,Masculino,Novembro,3,11,2019-11-01
167,2019,Alagoas,Masculino,Dezembro,2,12,2019-12-01
168,2019,Sergipe,Masculino,Janeiro,1,01,2019-01-01
169,2019,Sergipe,Masculino,Fevereiro,1,02,2019-02-01
170,2019,Sergipe,Masculino,Março,2,03,2019-03-01
171,2019,Sergipe,Masculino,Abril,1,04,2019-04-01
172,2019,Sergipe,Masculino,Maio,2,05,2019-05-01
173,2019,Sergipe,Masculino,Junho,1,06,2019-06-01
174,2019,Sergipe,Masculino,Julho,1,07,2019-07-01
175,2019,Sergipe,Masculino,Agosto,0,08,2019-08-01
176,2019,Sergipe,Masculino,Setembro,4,09,2019-09-01
177,2019,Sergipe,Masculino,Outubro,0,10,2019-10-01
178,2019,Sergipe,Masculino,Novembro,1,11,2019-11-01
179,2019,Sergipe,Masculino,Dezembro,0,12,2019-12-01
180,2019,Bahia,Masculino,Janeiro,9,01,2019-01-01
181,2019,Bahia,Masculino,Fevereiro,12,02,2019-02-01
182,2019,Bahia,Masculino,Março,12,03,2019-03-01
183,2019,Bahia,Masculino,Abril,11,04,2019-04-01
184,2019,Bahia,Masculino,Maio,8,05,2019-05-01
185,2019,Bahia,Masculino,Junho,7,06,2019-06-01
186,2019,Bahia,Masculino,Julho,10,07,2019-07-01
187,2019,Bahia,Masculino,Agosto,12,08,2019-08-01
188,2019,Bahia,Masculino,Setembro,6,09,2019-09-01
189,2019,Bahia,Masculino,Outubro,16,10,2019-10-01
190,2019,Bahia,Masculino,Novembro,7,11,2019-11-01
191,2019,Bahia,Masculino,Dezembro,16,12,2019-12-01
192,2019,Minas Gerais,Masculino,Janeiro,48,01,2019-01-01
193,2019,Minas Gerais,Masculino,Fevereiro,32,02,2019-02-01
194,2019,Minas Gerais,Masculino,Março,23,03,2019-03-01
195,2019,Minas Gerais,Masculino,Abril,30,04,2019-04-01
196,2019,Minas Gerais,Masculino,Maio,26,05,2019-05-01
197,2019,Minas Gerais,Masculino,Junho,16,06,2019-06-01
198,2019,Minas Gerais,Masculino,Julho,24,07,2019-07-01
199,2019,Minas Gerais,Masculino,Agosto,30,08,2019-08-01
200,2019,Minas Gerais,Masculino,Setembro,32,09,2019-09-01
201,2019,Minas Gerais,Masculino,Outubro,29,10,2019-10-01
202,2019,Minas Gerais,Masculino,Novembro,34,11,2019-11-01
203,2019,Minas Gerais,Masculino,Dezembro,27,12,2019-12-01
204,2019,Espírito Santo,Masculino,Janeiro,3,01,2019-01-01
205,2019,Espírito Santo,Masculino,Fevereiro,8,02,2019-02-01
206,2019,Espírito Santo,Masculino,Março,2,03,2019-03-01
207,2019,Espírito Santo,Masculino,Abril,3,04,2019-04-01
208,2019,Espírito Santo,Masculino,Maio,5,05,2019-05-01
209,2019,Espírito Santo,Masculino,Junho,5,06,2019-06-01
210,2019,Espírito Santo,Masculino,Julho,7,07,2019-07-01
211,2019,Espírito Santo,Masculino,Agosto,3,08,2019-08-01
212,2019,Espírito Santo,Masculino,Setembro,6,09,2019-09-01
213,2019,Espírito Santo,Masculino,Outubro,5,10,2019-10-01
214,2019,Espírito Santo,Masculino,Novembro,5,11,2019-11-01
215,2019,Espírito Santo,Masculino,Dezembro,4,12,2019-12-01
216,2019,Rio de Janeiro,Masculino,Janeiro,59,01,2019-01-01
217,2019,Rio de Janeiro,Masculino,Fevereiro,52,02,2019-02-01
218,2019,Rio de Janeiro,Masculino,Março,44,03,2019-03-01
219,2019,Rio de Janeiro,Masculino,Abril,30,04,2019-04-01
220,2019,Rio de Janeiro,Masculino,Maio,35,05,2019-05-01
221,2019,Rio de Janeiro,Masculino,Junho,28,06,2019-06-01
222,2019,Rio de Janeiro,Masculino,Julho,24,07,2019-07-01
223,2019,Rio de Janeiro,Masculino,Agosto,29,08,2019-08-01
224,2019,Rio de Janeiro,Masculino,Setembro,30,09,2019-09-01
225,2019,Rio de Janeiro,Masculino,Outubro,27,10,2019-10-01
226,2019,Rio de Janeiro,Masculino,Novembro,25,11,2019-11-01
227,2019,Rio de Janeiro,Masculino,Dezembro,27,12,2019-12-01
228,2019,São Paulo,Masculino,Janeiro,201,01,2019-01-01
229,2019,São Paulo,Masculino,Fevereiro,126,02,2019-02-01
230,2019,São Paulo,Masculino,Março,119,03,2019-03-01
231,2019,São Paulo,Masculino,Abril,86,04,2019-04-01
232,2019,São Paulo,Masculino,Maio,90,05,2019-05-01
233,2019,São Paulo,Masculino,Junho,122,06,2019-06-01
234,2019,São Paulo,Masculino,Julho,122,07,2019-07-01
235,2019,São Paulo,Masculino,Agosto,112,08,2019-08-01
236,2019,São Paulo,Masculino,Setembro,113,09,2019-09-01
237,2019,São Paulo,Masculino,Outubro,99,10,2019-10-01
238,2019,São Paulo,Masculino,Novembro,132,11,2019-11-01
